# TSP Small Instance - 10 cities (Euclidean, seed=42)
# Format: first line = n_cities, second line = city names, then distance matrix
10
C0 C1 C2 C3 C4 C5 C6 C7 C8 C9
0.0 27.2 86.6 34.7 64.6 63.3 40.5 39.2 43.5 20.0
27.2 0.0 81.3 13.2 77.1 53.9 24.9 62.7 70.3 7.3
86.6 81.3 0.0 69.3 52.6 28.1 57.1 82.6 102.1 81.0
34.7 13.2 69.3 0.0 71.7 41.5 12.3 64.3 75.1 16.8
64.6 77.1 52.6 71.7 0.0 53.5 63.6 38.6 57.6 72.3
63.3 53.9 28.1 41.5 53.5 0.0 29.2 70.3 88.2 54.4
40.5 24.9 57.1 12.3 63.6 29.2 0.0 62.8 76.4 26.5
39.2 62.7 82.6 64.3 38.6 70.3 62.8 0.0 19.8 55.8
43.5 70.3 102.1 75.1 57.6 88.2 76.4 19.8 0.0 63.0
20.0 7.3 81.0 16.8 72.3 54.4 26.5 55.8 63.0 0.0
